,Unnamed: 0,files,text,xmin,ymin,xmax,ymax
1,1,1.png,51F63221,35,301,174,341
2,2,2.png,51F63221,21,305,155,347
3,3,3.png,51F63221,32,300,165,341
4,4,4.png,51F63221,29,309,165,352
5,5,5.png,51F63221,11,319,150,360
6,6,6.png,51F63221,0,325,134,364
7,7,7.png,51H50678,809,415,969,481
8,8,8.png,51H50678,821,420,979,486
9,9,9.png,51H5008,840,429,997,489
10,10,10.png,51H50678,852,432,1009,489
11,11,11.png,51M50678,862,431,1021,486
12,12,12.png,51M50078,872,430,1031,486
13,13,13.png,51H50078,862,441,1026,508
14,14,14.png,51H50678,864,444,1028,512
15,15,15.png,51H50078,936,452,1100,521
16,16,16.png,51H50678,872,446,1037,516
17,17,17.png,51H50678,886,457,1048,527
18,18,18.png,51M50678,892,459,1058,532
19,19,19.png,51H50678,941,464,1111,537
20,20,20.png,51H50678,1002,480,1169,553
21,21,21.png,51H50678,1006,481,1174,555
22,22,22.png,51H50078,1007,485,1174,558
23,23,23.png,51H50678,1017,486,1184,563
24,24,24.png,51G6823,284,212,374,241
25,25,25.png,51H50678,1027,493,1195,569
26,26,26.png,51G36923,285,216,375,244
27,27,27.png,51H50678,1036,494,1205,571
28,28,28.png,51G6923,278,211,368,242
29,29,29.png,51H50678,1035,491,1205,569
30,30,30.png,51H50678,1048,495,1214,570
31,31,31.png,51H50678,1362,523,1536,608
32,32,32.png,51H50678,1417,524,1591,606
33,33,33.png,51H50047,1295,525,1438,608
34,34,34.png,51G3681,357,316,439,349
35,35,35.png,51G3644,390,273,468,308
36,36,36.png,51G36823,439,238,537,270
37,37,37.png,51G36823,448,250,547,282
38,38,38.png,51G36823,442,256,541,287
39,39,39.png,51G36823,439,254,538,285
40,40,40.png,51G35873,430,255,532,287
41,41,41.png,51G36873,450,256,553,288
42,42,42.png,51G30823,502,266,606,299
43,43,43.png,51G36823,512,258,616,295
44,44,44.png,51G36823,493,270,599,303
45,45,45.png,15G36823,455,263,562,297
46,46,46.png,51G36823,504,259,611,293
47,47,47.png,51G36823,465,271,574,305
